label,value
BHARTIARTL ,BHARTIARTL.NS
ASHOKLEY ,ASHOKLEY.NS
AUROPHARMA ,AUROPHARMA.NS
SANWARIA ,SANWARIA.NS
ALMONDZ ,ALMONDZ.NS
SBIN ,SBIN.NS
BPCL ,BPCL.NS
MBECL ,MBECL.NS
MAHABANK ,MAHABANK.NS
BOSCHLTD ,BOSCHLTD.NS
IDBI ,IDBI.NS
DABUR ,DABUR.NS
DRREDDY ,DRREDDY.NS
DPSCLTD ,DPSCLTD.NS
MAHLIFE ,MAHLIFE.NS
LPDC ,LPDC.NS
KAUSHALYA ,KAUSHALYA.NS
IRB ,IRB.NS
HDIL ,HDIL.NS
HDFC ,HDFC.NS
GOENKA ,GOENKA.NS
ENERGYDEV ,ENERGYDEV.NS
SCHNEIDER ,SCHNEIDER.NS
TATAELXSI ,TATAELXSI.NS
SWARAJENG ,SWARAJENG.NS
RECLTD ,RECLTD.NS
PEL ,PEL.NS
ADANIPORTS ,ADANIPORTS.NS
OFSS ,OFSS.NS
LICHSGFIN ,LICHSGFIN.NS
PFS ,PFS.NS
PFC ,PFC.NS
MUTHOOTFIN ,MUTHOOTFIN.NS
MFSL ,MAX.NS
FACT ,FACT.NS
GSPL ,GSPL.NS
GAIL ,GAIL.NS
POWERGRID ,POWERGRID.NS
VHL ,VHL.NS
HINDUNILVR ,HINDUNILVR.NS
HINDPETRO ,HINDPETRO.NS
HCC ,HCC.NS
HIRECT ,HIRECT.NS
ROHLTD ,ROHLTD.NS
JUBLINDS ,JUBLINDS.NS
JISLJALEQS ,JISLJALEQS.NS
PCJEWELLER ,PCJEWELLER-EQ.NS
JYOTHYLAB ,JYOTHYLAB.NS
JUBLFOOD ,JUBLFOOD.NS
JSWSTEEL ,JSWSTEEL.NS
JPPOWER ,JPPOWER.NS
JPOLYINVST ,JPOLYINVST.NS
JKTYRE ,JKTYRE.NS
JKPAPER ,JKPAPER.NS
JISLJALEQS ,JISLDVREQS.NS
JINDCOT ,JINDCOT.NS
JINDALSAW ,JINDALSAW.NS
JBFIND ,JBFIND.NS
JAGRAN ,JAGRAN.NS
JMFINANCIL ,JMFINANCIL-EQ.NS
JAGSNPHARM ,JAGSNPHARM-EQ.NS
JAMNAAUTO ,JAMNAAUTO.NS
JAICORPLTD ,JAICORPLTD.NS
JMA ,JMA.NS
JYOTISTRUC ,JYOTISTRUC-EQ.NS
JUSTDIAL ,JUSTDIAL.NS
JKIL ,JKIL.NS
J&KBANK ,J&KBANK.NS
JUSTDIAL ,JUSTDIAL-EQ.NS
J&KBANK ,J&KBANK-EQ.NS
JAMNAAUTO ,JAMNAAUTO-EQ.NS
PCJEWELLER ,PCJEWELLER.NS
JSWHL ,JSWHL-EQ.NS
JSWENERGY ,JSWENERGY.NS
JAYNECOIND ,JAYNECOIND-EQ.NS
JKCEMENT ,JKCEMENT.NS
JKPAPER ,JKPAPER-EQ.NS
JINDCOT ,JINDCOT-EQ.NS
JINDALPHOT ,JINDALPHOT.NS
JAIBALAJI ,JAIBALAJI-EQ.NS
JAYAGROGN ,JAYAGROGN.NS
JAIBALAJI ,JAIBALAJI.NS
JINDWORLD ,JINDWORLD.NS
JMTAUTOLTD ,JMTAUTOLTD-EQ.NS
JSWHL ,JSWHL.NS
KPRMILL ,KPRMILL.NS
KPITTECH ,KPIT.NS
KOTAKBANK ,KOTAKBANK.NS
KSK ,KSK.NS
KSERASERA ,KSERASERA.NS
KSCL ,KSCL.NS
KOTHARIPRO ,KOTHARIPRO.NS
KOTARISUG ,KOTARISUG.NS
KOPRAN ,KOPRAN.NS
KNRCON ,KNRCON.NS
KITEX ,KITEX.NS
KIRLOSENG ,KIRLOSENG.NS
KGL ,KGL.NS
KEC ,KEC.NS
KCPSUGIND ,KCPSUGIND.NS
